#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 10859, 2,KI7APS,    -0.30, 3,   boost,   -0.00,  86017.00, 1360.17,   -0.76,    0.00, 42.9, 8.27, 8.29, 3.99,   9.87,  -0.85,  -1.06,   1.15,   0.00,   0.12,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.29, 3,   boost,    1.51,  86017.00, 1360.17,   -0.76,    0.01, 42.9, 8.27, 8.29, 3.99,   9.87,  -0.61,  -0.93,   0.54,  -0.18,   0.36,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.28, 3,   boost,   -0.00,  86023.00, 1359.60,   -1.33,    0.01, 42.9, 8.27, 8.29, 3.99,   9.81,  -0.37,  -0.64,  -0.25,  -0.36,   0.42,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.27, 3,   boost,   -0.00,  86023.00, 1359.60,   -1.33,    0.01, 42.9, 8.27, 8.29, 3.99,   9.80,  -0.16,  -0.39,  -1.35,  -0.79,   0.79,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.26, 3,   boost,   -0.50,  86031.00, 1358.84,   -2.09,    0.01, 42.9, 8.27, 8.29, 3.99,  10.01,  -0.05,  -0.29,  -2.02,  -0.67,   0.24,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.25, 3,   boost,   -1.01,  86031.00, 1358.84,   -2.09,    0.01, 42.9, 8.27, 8.29, 3.99,  10.03,  -0.14,  -0.32,  -1.29,  -0.18,  -0.19,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.24, 3,   boost,    0.50,  86029.00, 1359.03,   -1.90,    0.00, 42.9, 8.27, 8.29, 3.99,   9.88,  -0.16,  -0.25,  -0.07,  -0.24,  -0.43,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.23, 3,   boost,   -0.50,  86029.00, 1359.03,   -1.90,    0.00, 42.9, 8.27, 8.29, 3.99,   9.86,  -0.10,  -0.44,   0.91,  -0.12,  -0.86,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.22, 3,   boost,    0.50,  86011.00, 1360.74,   -0.19,    0.00, 42.9, 8.27, 8.29, 3.99,   9.87,  -0.40,  -0.65,   1.03,  -0.12,  -0.86,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.21, 3,   boost,   -1.01,  86011.00, 1360.74,   -0.19,    0.00, 42.9, 8.27, 8.29, 3.99,   9.87,  -0.61,  -0.91,   0.17,  -0.30,  -0.80,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.20, 3,   boost,    1.01,  86024.00, 1359.51,   -1.43,    0.00, 42.9, 8.27, 8.29, 3.99,   9.84,  -0.73,  -1.09,  -0.44,  -0.55,  -1.04,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.19, 3,   boost,    1.51,  86024.00, 1359.51,   -1.43,    0.01, 42.9, 8.27, 8.29, 3.99,   9.89,  -0.95,  -1.14,  -1.29,  -0.49,  -0.62,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
6, 10859, 2,KI7APS,    -0.18, 3,   boost,   -1.01,  86026.00, 1359.32,   -1.62,    0.01, 42.9, 8.27, 8.29, 3.99,   9.79,  -0.91,  -1.13,  -1.96,  -0.97,  -0.50,   0.00,   0.00,   0.32,   4.63, 8.27, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  32.9393122,-106.9117764,  1392.0, 2023,  6, 22, 20, 22, 57,        0,        0,   0,   0,   1.4,   0.8,   1.2,  0,  0,  0,  0, 39,  0,  0,  0,  0, 35, 31, 27, 35,  0, 23, 34,  0, 42,  0, 31,  0,  0, 36,  0, 26, 37,  0,  0,  0,  0,  0,  0
